,Câu hỏi,Câu trả lời,Ghi chú
12,"Em xin phép dùng full resolution thay cho forward chaining không ạ, vì forward chaining không sử dụng được triệt để KB ạ",Có thể. Chỉ cần nhóm ghi rõ lý do tại sao lại chọn trong báo cáo,
13,Scream chỉ được tạo ra khi Wumpus bị chết bởi mũi tên của Agent hay là cả khi Wumpus bị lọt xuống Pit (trong Advanced Mode) ạ?,Wumpus sẽ không đi vào Pit nhé,
14,"Regarding question no. 6, if Prolog allowed, will it still maintain the ""from scratch"" requirements in this project?","Xin lỗi vì câu trả trước đó. Sau khi kiểm tra lại, mình nhận thấy là không được sử dụng prolog. Mình sẽ cập nhật thời gian nộp để các nhóm đã sử dụng prolog có thời gian điều chỉnh lại.",Lưu ý: Mình chỉ điều chỉnh cho các lớp bị ảnh hưởng bởi câu hỏi đó
15,"Regarding question no. 10, if the agent knows the map (env) size, then the Scream percept is of no use, is that correct?","Không, agent biết map size thì cũng đâu biết là wumpus ở đâu hay wumpus đã chết chưa?",
16,"Regarding question no.3, the agent perceives scream=True/False when shooting an arrow, may I confirm that, after shooting, how can the agent know the exact location, that is, (x,y) coords of the killed wumpus?",Nếu chỉ riêng scream  = True/false thì agent cũng không biết được là con wumpus nào chết. Cần phản dựa vào stench để biết con wumpus có ở gần kề mình không thì mới bắn. lúc đó dựa vào hướng bắn sẽ biết con wumpus đó ở đâu. Gi ới hạn arrow để hạn chế việc các bạn cho agent bắn bừa cho đến khi hết wumpus thì thôi,
17,"Cho em hỏi là map được random mỗi lần chơi đúng không ạ, và lưu ít nhất 3 map đó vào trong phần testcase? Hay là random 1 lần duy nhất n map và sử dụng cho nhiều lần?",Random mỗi lần chơi,
18,"Regarding ques15, i mean Bump, not Scream, sorry",Bump và thông tin độ dài map có thể thay thế cho nhau. em có thể lựa chọn sử dụng 1,
19,"Trong mục 5, Random Agent Baseline đề cập đến việc sử dụng bản đồ ngẫu nhiên hay chọn ngẫu nhiên một trong các thuật toán tìm kiếm. Nếu là ngẫu nhiên, thì khi chúng ta nộp bao gồm một thư mục 'testcases' với ít nhất ba bản đồ khác nhau có kích thước khác nhau, liệu chúng ta có cần đảm bảo chạy theo các test case (chạy một bản đồ và thuật toán cụ thể) hay chạy ngẫu nhiên không?",Chọn ngẫu nhiên thuật toán và test trên cùng 1 bản đồ với cách giải logic như vậy mới có thể so sánh được,
20,"Giả sử: W đang ở ô (2,1) và (3,4)

Vd: Agent đang ở ô (3,1), do ô kế bên là Wumpus nên hiển nhiên ở ô (3,1) sẽ có Stench nữa -> W sẽ có thể ở 1 trong 3 ô, giả sử nếu em bắn cung hướng lên phía trên, thì vẫn sẽ có hiệu ứng Scream nhưng mà không biết W ở hàng nào sẽ bị giết hay là không có hiệu ứng Scream luôn ạ?

Y  
9   #  #  #  #  #  #  #  #  #  #
8   #  _  _  _  _  _  _  _  _  #
7   #  _  _  _  _  _  _  _  _  #
6   #  _  _  _  _  _  _  _  _  #
5   #  _  _  _  _  _  _  _  _  #
4   #  _  _  W  _  _  _  _  _  #
3   #  _  _  _  _  _  _  _  _  #
2   #  _  _  _  _  _  _  _  _  #
1   #  _  W A  _  _  _  _  _  #
0   #  #  #  #  #  #  #  #  #  #
     0  1  2  3  4  5  6  7  8  9   : X
",Sẽ có hiệu ứng scream nhưng em không xác định được wumpus nào bị giết thôi,
21,"Cho em hỏi, khi wumpus di chuyển, nó có thể đi vào ô đang chứa gold được không thầy?",Có,
22,Dạ cho em hỏi phần random agent baseline như thầy nói ở trên là chọn một thuật toán search để cài hay cài nhiều thuật toán search rồi thử nghiệm trên từng thuật toán ,Đề ghi là 1 thôi,
23,"Cho em hỏi là trong như file yêu cầu thì có phần ""Die (fall in pit or eaten by wumpus) -1000"", vậy lúc này Agent die rồi thì trò chơi có dừng không ạ? Nếu không dừng thì score của mình sẽ bị âm trong trường hợp không tìm được Gold, và khi thoát ra (Climb out) điểm được tính cho màn chơi đó sẽ là âm đúng không ạ?",Die là dừng luôn nhé,
24,Khi random 1 con agent khác để chạy thì em có được tạo thêm 1 map bên cạnh để quan sát 2 con agent rõ hơn (2 map giống nhau) hay phải cho 2 con đó chạy cùng nhau trên cùng 1 map ạ?,Nên tạo 2 map cho dễ quan sát,
25,Cho em hỏi xác suất xuất hiện pit là p=0.2 thì tính số pit trên map( ví dụ: map 4x4 trừ ô ban đầu của agent ra thì còn 15 ô thì số pit là 3) đúng không ạ?,Đúng rồi,
26,Agent chỉ di chuyển theo hướng đang đứng và muốn di chuyển hướng khác thì xoay và mất 1 action đúng không ạ?,Đúng rồi,
27,Cho em hỏi chỗ map random là như thế nào ạ? Em có được cố định khoảng random cho N không ạ?,"Mình không hiểu câu hỏi lắm. Kích thước map do bạn chọn, N mặc định là 8 thì bạn nên thử những map lớn hơn 8. Nếu máy bạn hoặc thuật toán của bạn có khả năng giải các map rất lớn bạn có thể thử. Không có chặn trên cho N",
28,"Trong câu hỏi No9.(When a wumpus is hit, will the agent perceive the scream in the same turn or the next turn?). Em nghĩ sau khi thực hiện hành động ""shoot"" thì percept ""scream"" nên được nhận trong cùng turn đó ạ. Vì khi mình thực hiện các hành động khác như ""move forward"" thì percepts trả về trong chính lượt hành động đó cũng có thể là ""stench"", ""breeze"" hoặc ""bump"" nếu trước mặt là tường.",Cả hai cách cài đặt đều được chấp nhận,
29,"Cho em hỏi khi start chương trình, thì tất cả mọi thứ đều tự động, người dùng chỉ việc quan sát thôi. Hay là có những tương tác nào khác như là điều chỉnh N,K,p, hay click chuột xem điểm...","Nên cho người dùng nhập thông số cấu hình trước khi gen map. Còn click chuột xem điểm thì không bắt buộc, nếu có làm những tương tác nâng cao thì được xem là điểm cộng",
30,Những tương tác nào được xem là nâng cao vậy ạ? Nếu được cho em xin 1 vài ví dụ ạ,Kiểu như mình chỉ cần bạn hiển thị đầy đủ thông tin thôi. Nhưng nếu bạn visualize ra thành 1 game hoàn chỉnh có chức năng đầy đủ thì xem là nâng cao hơn so với yêu cầu đề,
